Sequence ID,Wormbase ID,Category 1,Category 2,Category 3,Description
Y32H12A.3,WBGene00000973,Metabolism,Metabolism: short chain dehydrogenase,Metabolism: short chain dehydrogenase,dhs-9 encodes a member of the short-chain dehydrogenases/reductases family (SDR).
C25G4.2 ,#N/A,#N/A,#N/A,#N/A,#N/A
 F38E9.1,#N/A,#N/A,#N/A,#N/A,#N/A
Y37E11AR.4,WBGene00021371,Signaling,Signaling: lipid,Signaling: lipid: phospholipase: other,"nape-1 is an ortholog of human NAPEPLD (N-acyl phosphatidylethanolamine phospholipase D); nape-1 is involved in N-acylethanolamine metabolic process; nape-1 is predicted to have N-acylphosphatidylethanolamine-specific phospholipase D activity and zinc ion binding activity, based on protein domain information; nape-1 is expressed in the pharynx, nervous system, and the vulval muscle; nape-1 is localized to the neuronal cell body."
Y37E11AR.3,WBGene00021370,Signaling,Signaling: lipid,Signaling: lipid: phospholipase: other,"nape-2 is an ortholog of human NAPEPLD (N-acyl phosphatidylethanolamine phospholipase D); nape-2 is involved in N-acylethanolamine metabolic process; nape-2 is predicted to have N-acylphosphatidylethanolamine-specific phospholipase D activity and zinc ion binding activity, based on protein domain information; nape-2 is expressed in the pharynx, spermatheca, vulval muscle, ventral nerve cord, nerve ring, and the dorsal nerve cord; nape-2 is localized to the neuron projection."
Y73B6BL.4,WBGene00022233,Signaling,Signaling: lipid,Signaling: lipid: phospholipase A,ipla-6 encodes a phospholipase A2.
Y49E10.11,WBGene00013034,Metabolism,Metabolism: lipid,Metabolism: lipid: phospholipid,"tat-1 encodes one of six C. elegans subfamily IV P-type ATPase that, by sequence similarity, is proposed to function as an aminophospholipid translocase (flippase); TAT-1 activity is required for regulating phosphatidylserine asymmetry on the plasma membrane and thus, for regulation of phagocytic engulfment of cells; in addition, TAT-1 activity is required for phosphatidylserine transport across membranes and elements of membrane trafficking, including the biogenesis of lysosome-derived storage organelles and an early step in endocytosis; a tat-1::gfp promoter fusion is first expressed during embryogenesis and continues through larval and adult stages with expression seen in the intestine, the germ line, the epidermis, body wall and pharyngeal muscles, and the nervous system; in intestinal cells, a TAT-1::GFP isoform localizes to the apical and basolateral cell membranes as well as to organelles such as the Golgi and those of the endosomal pathway; in the germ line, a TAT-1::FLAG fusion protein localizes to the plasma membrane; the TAT-1C isoform, which is expressed in the intestine, physically interacts with the NUM-1A PTB domain."
AC3.2,WBGene00007070,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-49 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-49 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
AC3.8,WBGene00007073,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-2 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-2 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
B0205.6,WBGene00015021,Metabolism,Metabolism: molybdenum cofactor,Metabolism: molybdenum cofactor,"B0205.6 is an ortholog of human NFS1 (NFS1, cysteine desulfurase) and RP1-309K20.6; B0205.6 is predicted to have cysteine desulfurase activity and pyridoxal phosphate binding activity, based on protein domain information."
B0218.2,WBGene00015048,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"faah-2 is an ortholog of human FAAH (fatty acid amide hydrolase); faah-2 is predicted to have amidase activity, based on protein domain information."
B0303.2,WBGene00015124,Protein modification,Protein modification: methyltransferase,Protein modification: methyltransferase,"anmt-1 is an ortholog of human INMT-FAM188B (INMT-FAM188B readthrough (NMD candidate)) and members of the Seven-beta-strand methyltransferase motif containing family including NNMT; anmt-1 is predicted to have methyltransferase activity, based on protein domain information; anmt-1 is expressed in the pharynx, reproductive system, intestine, and the body wall musculature; anmt-1 is localized to the striated muscle dense body and the striated muscle myosin thick filament."
BE0003N10.1,WBGene00015266,mRNA functions,mRNA functions: processing,mRNA functions: processing: nuclease,"BE0003N10.1 is an ortholog of human PNPT1 (polyribonucleotide nucleotidyltransferase 1); BE0003N10.1 is predicted to have RNA binding activity and polyribonucleotide nucleotidyltransferase activity, based on protein domain information."
C02D5.4,WBGene00043097,Stress response,Stress response: GST,Stress response: GST,"C02D5.4 is an ortholog of human GstO2 (glutathione S-transferase omega 2) and GstO1 (glutathione S-transferase omega 1); C02D5.4 is predicted to have glutathione transferase activity, based on protein domain information."
C06G3.7,WBGene00015553,Metabolism,Metabolism: glutathione,Metabolism: glutathione,"trxr-1 encodes one of two C. elegans thioredoxin reductases homologous to the mammalian TrxR1 and TrxR2 isozymes; like its mammalian homologs, TRXR-1 has a TGA-encoded C-terminal penultimate selenocysteine (Sec) residue; labelling of C. elegans with selenium-75 demonstrates that TR-Se is the major naturally occurring selenoprotein in C. elegans, and computational analysis indicates that it is probably the only selenoprotein encoded by the genome; the 3'-untranslated region of this gene contains a selenocysteine insertion sequence that is functional in mammalian cell culture; loss of trxr-1 activity, together with that of gsr-1, results in molting defects characterized by a failure to remove old cuticle and reduced, disulfide groups in the cuticle that remain oxidized; TRXR-1 function in the cuticle is selenocysteine-dependent."
C07A9.6,WBGene00007402,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-60 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-60 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
C08A9.1,WBGene00004932,Stress response,Stress response: oxidative,Stress response: oxidative,"sod-3 encodes a iron/manganese superoxide dismutase, predicted to be mitochondrial, that might defend against oxidative stress and promote normal lifespan; sod-3 mRNA levels are diminished by mutation of daf-16 and chromatin immunoprecipitation (ChIP) studies demonstrate that DAF-16 can directly bind the sod-3 promoter; heterologously expressed SOD-3 in E. coli protects against methyl viologen-induced oxidative stress."
C08B6.1,WBGene00007422,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-17 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-17 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
C08B6.14,WBGene00044044,Lysosome,Lysosome: acid phospatase,Lysosome: acid phospatase,"C08B6.14 is an ortholog of human ACP7 (acid phosphatase 7, tartrate resistant (putative)); C08B6.14 is predicted to have acid phosphatase activity and metal ion binding activity, based on protein domain information."
C10F3.5,WBGene00003954,Stress response,Stress response: other,Stress response: other,"pcm-1 encodes, by alternative splicing, two isoforms of an  L-isoaspartate O-methyltransferase (EC 2.1.1.77) required for longevity  of starved L1 and dauer larvae, and perhaps for autophagy; PCM-1 is  orthologous to human PCMT1 (OMIM:176851) and is predicted to repair  age-damaged proteins; PCM-1 is biochemically active in vitro, but lacks  the D-aspartyl-methylase activity of human PCMT1; PCM-1 levels increase  twofold in dauer larvae; as starved L1 larvae, pcm-1 mutants exhibit  abnormally poor survival as either starved L1 or dauer larvae, with  twice the normal level of damaged proteins accumulating in dauers; pcm-1  mutants also show reduced GFP::LGG-1 fluorescence, suggesting defective  autophagy."
C10F3.6,WBGene00001508,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"fut-8 encodes a core alpha 1,6-fucosyltransferase; characterization of a recombinant form of the protein that contains the catalytic region of FUT-8 reveals a sustrate requirement for unsubstituted nonreducing terminal GlcNAc residues."
C12D8.5,WBGene00007536,Metabolism,Metabolism: lipid,Metabolism: lipid: sterol,"daf-36 encodes a protein homologous to the catalytic subunit of Rieske-like oxygenases; DAF-36 functions in a hormone biosynthetic pathway producing a ligand for the DAF-12 nuclear receptor that regulates the developmental decision between reproductive growth and dauer formation; a daf-36::gfp reporter fusion is expressed in the intestine, the head mesodermal cell, two unidentified head neurons (not XXXR/L) and, in dauers, the lateral seam cells; DAF-36 localizes to the cytoplasm in the intestine and to a cytosolic meshwork in dauer seam cells."
C13C4.4,WBGene00007548,Metabolism,Metabolism: other,Metabolism: other,C13C4.4 is an ortholog of human LHPP (phospholysine phosphohistidine inorganic pyrophosphate phosphatase); C13C4.4 is expressed in the nervous system and the reproductive system.
C14F11.6,WBGene00015781,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"C14F11.6 is predicted to have dTDP-4-dehydrorhamnose 3,5-epimerase activity, based on protein domain information."
C15C7.7,WBGene00015793,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"C15C7.7 encodes a protein O-fucosyltransferase orthologous to the vertebrate POFUT1 family of proteins; the protein product of C15C7.7 exhibits protein O-fucosyltransferase activity in vitro, fucosylating the EGF12 repeat from the mouse Notch1 receptor; by sequence similarity, the product of C15C7.7 is predicted to localize to the endoplasmic reticulum."
C15F1.7,WBGene00004930,Stress response,Stress response: oxidative,Stress response: oxidative,"sod-1 encodes the copper/zinc superoxide dismustase, an enzyme that is known to protect cells from oxidative damage; superoxide dismutase activity  can be detected in worm extracts; sod-1 activity has been implicated in the increased life-span of dauer larvae where this enzyme demonstrates the highest activity compared to other life-stages as well as in the increased life span of age-1 mutants and their resistance to oxidative damage;  sod-1 modulates the effect of let-60 ras on vulval and germline development via cytoplasmic reactive oxygen species; unlike other eukaryotic superoxide dismutases, sod-1 does not require the copper chaperone CCS for its activity and instead uses a glutathione pathway for acquiring copper; in humans, mutation of SOD1 (OMIM:147450) leads to amyotrophic lateral sclerosis (OMIM:105400)."
C25F6.3,WBGene00016103,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"dpyd-1 encodes the C. elegans ortholog of human DihydroPYrimidine Dehydrogenase (DPYD), which when mutated leads to thymine-uraciluria (OMIM:274270); DPYD-1 is the first and rate-limiting enzyme for uracil and thymine metabolism to 5,6-dihydrouracil and 5,6-dihydrothymine, respectively, and in humans, functions in metabolism of the anti-cancer pyrimidine antagonist 5-fluorouracil (5-FU); in C. elegans, loss of dpyd-1 activity via RNAi results in sensitivity (decreased survival) to 5-FU while conversely, DPYD-1 overexpression affords increased germ cell survivability to 5-FU."
C27A2.12,WBGene00206373,Lysosome,Lysosome: acid phospatase,Lysosome: acid phospatase,"C27A2.12 is an ortholog of human ACPT (acid phosphatase, testicular), ACP2 (acid phosphatase 2, lysosomal) and ACPP (acid phosphatase, prostate); RNA sequencing and microarray studies indicate that C27A2.12 is affected by daf-12, daf-16, sir-2.1, ain-1, ahr-1, alg-1, dpy-9, dpy-10, mir-243, crh-1, tax-6, octr-1, tdp-1, oga-1, pmk-1, eat-2, and let-60; microarray studies indicate that C27A2.12 is affected by Sirolimus; RNA sequencing and microarray studies indicate that C27A2.12 is enriched in the amphid sheath cell, hypodermis, and intestine."
C27D8.4,WBGene00007780,Metabolism,Metabolism: other,Metabolism: other,"C27D8.4 is predicted to have catalytic activity and coenzyme binding activity, based on protein domain information; C27D8.4 is expressed in the pharynx and the intestine."
C28D4.3,WBGene00001607,Metabolism,Metabolism: amino acid,Metabolism: amino acid: synthesis,"gln-6 is an ortholog of human GLUL (glutamate-ammonia ligase); gln-6 is predicted to have glutamate-ammonia ligase activity, based on protein domain information; gln-6 is expressed in the anterior gonad arm and the germ line."
C32C4.7,WBGene00044286,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-35 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-35 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
C34B7.4,WBGene00007914,Transcription: chromatin,Transcription: chromatin modfication,Transcription: chromatin modfication: acetyltransferase,"C34B7.4 encodes a MYST family histone acetyltransferase; based upon sequence similarity, the product of C34B7.4 is predicted to be the enzymatic component of an NuA4-like histone acetyltransferase (HAT) complex that functions in transcriptional activation; C34B7.4 is likely required for regulating gene expression in multiple tissues, as loss of its activity via RNAi results in suppression of ectopic lag-2 reporter expression seen in intestinal tissue in SynMuv B mutants as well as in some suppression of the lin-15AB SynMuv phenotype."
C35B1.5,WBGene00016435,Unknown,Unknown: Stress response: regulated by multiple stresses,Unknown: Stress response: regulated by multiple stresses,"RNA sequencing and microarray studies indicate that C35B1.5 is affected by Rotenone, D-glucose, Zidovudine, Acrylamide, Quercetin, Hydrolyzable Tannins, Humic substances, Paraquat, Sirolimus, and Allantoin; tiling array and microarray studies indicate that C35B1.5 is enriched in the excretory cell and intestine and in the GABAergic neurons."
C39B5.6,WBGene00016524,Non-translated RNA,Non-translated RNA: tRNA,Non-translated RNA: tRNA,"C39B5.6 is an ortholog of human GATB (glutamyl-tRNA amidotransferase subunit B); C39B5.6 is predicted to have carbon-nitrogen ligase activity, with glutamine as amido-N-donor, based on protein domain information."
C41G7.4,WBGene00008062,Transcription: chromatin,Transcription: chromatin modfication,Transcription: chromatin modfication: methyltransferase,"set-32 encodes a divergent histone H3 lysine-9 (H3K9) methyltransferase  homolog with a SET domain; SET-32 has no obvious non-nematode orthologs,  but several paralogs (SET-6, SET-13, SET-15, SET-19, SET-20, and  SET-21); set-32(ok1457) has no obvious mutant phenotype, and SET-32 has  no obvious function in mass RNAi assays."
C44B7.12,WBGene00016632,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"C44B7.12 is an ortholog of human ADAL (adenosine deaminase like); C44B7.12 is predicted to have deaminase activity, based on protein domain information."
C46E1.2,WBGene00001556,Signaling,Signaling: heteromeric G protein,Signaling: heteromeric G protein: guanylyl cyclase,"gcy-36 encodes a soluble guanylate cyclase; GCY-36 activity is required in the URX sensory neurons to sense increases in O2 levels and effect corresponding behavioral changes; gcy-36 genetically interacts with npr-1 with respect to feeding behavior; a gcy-36 reporter fusion is expressed in the AQR, PQR, and URX neurons."
C47D2.2,WBGene00000391,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"cdd-1 encodes a cytidine deaminase that contains a zinc-binding region; CDD-1 exhibits deoxycytidine deaminase activity when expressed in vitro, and is able to bind AU-rich RNA sequences in vitro; a cdd-1::lacZ reporter fusion is expressed at highest levels in early larvae and is seen predominantly in the intestine and pharynx."
C53A5.17,WBGene00194707,Non-translated RNA,Non-translated RNA: tRNA,Non-translated RNA: tRNA: methylation,"C53A5.17 is an ortholog of human TRMT5 (tRNA methyltransferase 5); RNA sequencing and proteomic studies indicate that C53A5.17 is affected by tatn-1, daf-2, cox-5B, jmjd-3.1, dpy-21, glp-1, pgl-1, pgl-3, glh-4, and glh-1; RNA sequencing studies indicate that C53A5.17 is affected by Rotenone and Zidovudine; RNA sequencing studies indicate that C53A5.17 is enriched in the intestine and germ line."
C54E4.3,WBGene00001557,Signaling,Signaling: heteromeric G protein,Signaling: heteromeric G protein: guanylyl cyclase,"gcy-37 encodes a predicted soluble guanylyl cyclase that is expressed in four candidate sensory neurons connected to the pseudocoelom, URXL, URXR, AQR, and PQR; as loss of gcy-37 activity via RNA-mediated interference does not result in any abnormalities, the precise role of GCY-37 in C. elegans development and/or behavior is not yet known; GCY-37 expression in neurons connected to the pseudocoelom suggests, however, that GCY-37 may play a role in fluid homeostasis."
C54E4.5,WBGene00016920,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"C54E4.5 is an ortholog of human MIOX (myo-inositol oxygenase); C54E4.5 is predicted to have inositol oxygenase activity and iron ion binding activity, based on protein domain information."
C55F2.1,WBGene00016957,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"atic-1 is an ortholog of human ATIC (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase); atic-1 is predicted to have IMP cyclohydrolase activity, based on protein domain information."
C56G3.2,WBGene00016985,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"C56G3.2 is an ortholog of members of the human AKR (Aldo-keto reductases) family including AKR1C1; C56G3.2 is predicted to have oxidoreductase activity, based on protein domain information."
D2023.4,WBGene00008408,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"D2023.4 encodes a thialysine N-(epsilon)-acetyltransferase, belonging to the GCN5-related N-acetyltransferase superfamily; recombinant D2023.4 protein forms a catalytically active homodimer, most efficiently catalysing the N-acetylation of thialysine [S-(2-aminoethyl)-L-cysteine], O-(2-aminoethyl)-L-serine and S-(2-aminoethyl)-D,L-homocysteine."
D2024.7,WBGene00017054,Stress response,Stress response: GST,Stress response: GST,"gstk-2 encodes one of two C. elegans kappa class glutathione transferases; while gstk-2(RNAi) animals exhibit no obvious developmental or morphological abnormalities, animals doubly mutant for gstk-2 and gstk-1 exhibit decreased respiration and  a lower concentration of the monounsaturated fatty acid cis-vaccenic acid; GSTK-2 is expressed primarily in the pharynx, muscles, and epidermis and localizes to mitochondria."
D2089.5,WBGene00001522,Metabolism,Metabolism: other,Metabolism: other,gbh-1 encodes a predicted ortholog of human hBBOX1; expressed in the intestine and in head and body muscles.
E01A2.1,WBGene00017084,Metabolism,Metabolism: glutathione,Metabolism: glutathione,"E01A2.1 encodes a glutamate cysteine ligase regulatory subunit; by homology, the product of E01A2.1, along with the catalytic subunit GCS-1 (gamma-glutamylcysteine synthetase), is predicted to participate in the rate-limiting first step of glutathione (GSH) synthesis.  "
E01A2.10,WBGene00077701,Stress response,Stress response: other,Stress response: other,"poml-3 is an ortholog of human PON3 (paraoxonase 3), PON2 (paraoxonase 2) and PON1 (paraoxonase 1); RNA sequencing and microarray studies indicate that poml-3 is affected by Manganese chloride, D-glucose, 4-bromodiphenyl ether, Zidovudine, Resveratrol, Cry5B, Quercetin, single-walled carbon nanotubes, and Cholesterol; RNA sequencing studies indicate that poml-3 is enriched in the intestine."
E01A2.5,WBGene00017087,Unknown,Unknown: Stress response: regulated by multiple stresses,Unknown: Stress response: regulated by multiple stresses,"E01A2.5 is an ortholog of human DPH6 (diphthamine biosynthesis 6); microarray and RNA sequencing studies indicate that E01A2.5 is affected by cyc-1, tatn-1, jmjd-3.1, ifg-1, lin-28, mir-34, pgl-1, pgl-3, glh-4, glh-1, emb-4, and fbf-1; RNA sequencing and microarray studies indicate that E01A2.5 is affected by Rotenone, Atrazine, Paraquat, Sirolimus, and Allantoin; RNA sequencing studies indicate that E01A2.5 is enriched in the germ line."
E01A2.7,WBGene00017089,Stress response,Stress response: other,Stress response: other,"The E01A2.7 gene encodes one of five paraoxonase-like proteins; it is homologous to the human genes PARAOXONASE 1 gene (PON1, OMIM:168820) and PARAOXONASE 2 (OMIM:602447), which in some allelic forms are associated with susceptibility to coronary artery disease or to variations in fasting plasma glucose."
E01F3.1,WBGene00008443,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"pde-3 is an ortholog of human PDE3B (phosphodiesterase 3B) and PDE3A (phosphodiesterase 3A); pde-3 is predicted to have phosphoric diester hydrolase activity, based on protein domain information; pde-3 is expressed in the hypodermis, nervous system, and the intestine."
E02H9.5,WBGene00017103,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"klo-2 encodes a homolog of the human beta-glucosidase-like proteins KL  (klotho; OMIM:604824), KLB (beta-klotho; OMIM:611135), GBA3 (cytosolic  beta-glucosidase; OMIM:606619), LCT (lactase-phlorizin hydrolase;  OMIM:603202, variant in adult lactose tolerance), and LCTL (lactase-like  protein); KLO-2 has 76% identity (364/478 residues) to its paralog encoded by  klo-1; perhaps due to genetic redundancy, klo-2 has no obvious  function in mass RNAi assays."
F08F3.4,WBGene00017262,Stress response,Stress response: pathogen,Stress response: pathogen: other,"F08F3.4 is involved in innate immune response; F08F3.4 is predicted to have catalytic activity and coenzyme binding activity, based on protein domain information."
F08F8.7,WBGene00017272,Metabolism,Metabolism: pentose phosphate pathway,Metabolism: pentose phosphate pathway,"F08F8.7 is an ortholog of human RPEL1 (ribulose-5-phosphate-3-epimerase like 1) and RPE (ribulose-5-phosphate-3-epimerase); F08F8.7 is predicted to have ribulose-phosphate 3-epimerase activity, based on protein domain information; F08F8.7 is expressed in the intestine."
F10C2.6,WBGene00001095,Non-translated RNA,Non-translated RNA: tRNA,Non-translated RNA: tRNA: production,drs-2 encodes a putative aspartyl-tRNA synthetase.
F10D2.12,#N/A,#N/A,#N/A,#N/A,#N/A
F18E3.7,WBGene00017565,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,"ddo-2 encodes a D-aspartate oxidase (DASPO), paralogous to DDO-1 and DDO-3; recombinant DDO-2 protein has DASPO acvitity on acidic D-amino acid substrates (e.g., D-aspartate, D-glutamate, or N-methyl-D-aspartate/NMDA), with highest catalytic efficiency on D-aspartate or D-glutamate; ddo-2 is required for viability in mass RNAi assays."
F19B6.1,WBGene00008948,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"F19B6.1 is an ortholog of human UCKL1 (uridine-cytidine kinase 1 like 1); F19B6.1 is predicted to have ATP binding activity and kinase activity, based on protein domain information; F19B6.1 is expressed in the pharynx, hypodermis, reproductive system, and the body wall musculature."
F21A3.11,WBGene00219316,Lysosome,Lysosome: acid phospatase,Lysosome: acid phospatase,"F21A3.11 is an ortholog of human ACP7 (acid phosphatase 7, tartrate resistant (putative)); F21A3.11 is predicted to have acid phosphatase activity and metal ion binding activity, based on protein domain information."
F23B2.13,WBGene00009078,Transcription: general machinery,Transcription: general machinery: RNA Pol II,Transcription: general machinery: RNA Pol II: subunit,"rpb-12 is an ortholog of human POLR2K (RNA polymerase II subunit K); rpb-12 is predicted to have DNA binding activity and DNA-directed 5'-3' RNA polymerase activity, based on protein domain information."
F26H9.5,WBGene00009177,Metabolism,Metabolism: amino acid,Metabolism: amino acid: synthesis,"F26H9.5 is an ortholog of human PSAT1 (phosphoserine aminotransferase 1); F26H9.5 is predicted to have O-phospho-L-serine:2-oxoglutarate aminotransferase activity, based on protein domain information; F26H9.5 is expressed in the head, tail, and the intestine."
F27D9.5,WBGene00017864,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"The F27D9.5 gene encodes an ortholog of the human gene PROPIONYL-COA CARBOXYLASE ALPHA SUBUNIT (PCCA), which when mutated leads to propionicaciduria, type I (OMIM:232000)."
F32D8.12,WBGene00009334,Metabolism,Metabolism: glycolysis,Metabolism: glycolysis,"F32D8.12 is an ortholog of human LDHD (lactate dehydrogenase D); F32D8.12 is predicted to have flavin adenine dinucleotide binding activity and oxidoreductase activity, acting on CH-OH group of donors, based on protein domain information."
F35G12.2,WBGene00009440,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: citric acid cycle,F35G12.2 encodes the C. elegans ortholog of mitochondrial NAD+-isocitrate dehydrogenase.
F40F9.6,WBGene00009583,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"aagr-3 is an ortholog of human GANC (glucosidase alpha, neutral C) and GANAB (glucosidase II alpha subunit); aagr-3 is involved in glycogen catabolic process; aagr-3 exhibits alpha-1,4-glucosidase activity and is predicted to have carbohydrate binding activity, based on protein domain information; aagr-3 is expressed in the pharynx, anal depressor muscle, nervous system, intestine, and the rectal epithelium."
F42D1.2,WBGene00009628,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,"tatn-1 encodes a putative tyrosine aminotransferase, orthologous to  human TAT (OMIM:276600, mutated in type II tyrosinemia); tatn-1 is  expressed in larval and adult pharynx, hypodermis, body wall muscle, and  intestine, and in adult vulval muscle and reproductive system; tatn-1  is required for the tyrosinemic phenotype of fah-1(RNAi) animals."
F42G8.12,WBGene00002162,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex III,"isp-1 encodes a Rieske iron sulphur protein (ISP) which is a subunit of the mitochondrial complex III in the mitochondrial membrane; the subunits are highly conserved in all mitochondria and aerobic bacteria; mitochondrial complex III catalyses electron transport from ubiquinol to cytochrome c; isp-1 mutants show low oxygen consumption, a decreased sensitivity to reactive oxygen species and increased lifespan suggesting that mitochondrial electron transport is a key factor affecting life span; isp-1 affects the rates of physiological processes like reproduction and development and also affects behavior."
F42G9.8,WBGene00018365,Cuticle,Cuticle: other,Cuticle: other,tpst-2 encodes a tyrosylprotein sulfotransferase.
F44E2.6,WBGene00018419,Metabolism,Metabolism: other,Metabolism: other,"F44E2.6 is an ortholog of human MSRB3 (methionine sulfoxide reductase B3) and MSRB2 (methionine sulfoxide reductase B2); F44E2.6 is predicted to have peptide-methionine (R)-S-oxide reductase activity, based on protein domain information."
F44G3.2,WBGene00009706,Metabolism,Metabolism: creatine kinase,Metabolism: creatine kinase,"argk-1 is an ortholog of human CKMT2 (creatine kinase, mitochondrial 2), CKM (creatine kinase, M-type), CKB (creatine kinase B) and CKMT1B (creatine kinase, mitochondrial 1B); argk-1 is predicted to have kinase activity, based on protein domain information; argk-1 is expressed in the intestine, IL socket cell, and the OL socket cell."
F52B10.2,WBGene00044303,Cuticle,Cuticle: other,Cuticle: other,"hst-3.2 is an ortholog of members of the human Sulfotransferases, membrane bound family including HS3ST3B1; hst-3.2 is involved in heparan sulfate proteoglycan biosynthetic process; hst-3.2 is predicted to have sulfotransferase activity, based on protein domain information; hst-3.2 is expressed in the epithelial cell, hypodermis, nervous system, and the vulva; hst-3.2 is localized to the Golgi lumen."
F52E1.8,WBGene00018696,Lysosome,Lysosome: acid phospatase,Lysosome: acid phospatase,"pho-6 is an ortholog of human ACP2 (acid phosphatase 2, lysosomal), ACPT (acid phosphatase, testicular) and ACPP (acid phosphatase, prostate); microarray and RNA sequencing studies indicate that pho-6 is affected by Mercuric Chloride, Rifampin, Manganese chloride, Indole, 4-bromodiphenyl ether, Cadmium Chloride, Resveratrol, Atrazine, Cry5B, and Sirolimus; tiling array, RNA sequencing, and microarray studies indicate that pho-6 is enriched in the excretory cell and amphid sheath cell and in neurons."
F54A3.4,WBGene00018783,Metabolism,Metabolism: 1CC,Metabolism: 1CC: transulfulation,"The F54A3.4 gene encodes a homolog of the human gene CBS, which when mutated leads to homocystinuria (OMIM:236200)."
F54D11.1,WBGene00018811,Metabolism,Metabolism: lipid,Metabolism: lipid: phospholipid,"pmt-2 encodes an experimentally validated N-methyltransferase required  for phosphocholine biosynthesis and viability; PMT-2 lacks known  mammalian orthologs, but has orthologs in parasitic nematodes, fish,  amphibians, echinoderms, plants, alveolata, and bacteria; PMT-2 is  distantly paralogous to PMT-1; PMT-2 has a single C-terminal  methyltransferase domain, unlike plant enzymes that have two tandem  domains, and catalyses only two of three steps in phosphocholine  biosynthesis (methylation of phosphomonomethylethanolamine [P-MME] to  phosphodimethylethanolamine [P-DME] and of P-DME to phosphocholine, but  not methylation of phosphoethanolamine to P-MME); pmt-2(RNAi) animals  are unable to progress past the L1 larval stage, but can be rescued by  choline in their food media; PMT-2 binds its substrates in random order,  and is competitively inhibited by phosphocholine; given its phylogenetic  and enzymatic specificity, coupled with its inviable RNAi phenotype,  PMT-1 is a plausible target for nematicides."
F55G1.9,WBGene00018904,Metabolism,Metabolism: amino acid,Metabolism: amino acid: synthesis,"F55G1.9 is an ortholog of human NOXRED1 (NADP dependent oxidoreductase domain containing 1); F55G1.9 is predicted to have pyrroline-5-carboxylate reductase activity, based on protein domain information; F55G1.9 is expressed in the hypodermis and the intestinal cell."
F55G7.2,WBGene00010120,Protein modification,Protein modification: methyltransferase,Protein modification: methyltransferase,"dot-1.4 is an ortholog of human DOT1L (DOT1 like histone lysine methyltransferase); dot-1.4 is predicted to have histone methyltransferase activity (H3-K79 specific), based on protein domain information."
F56A4.3,WBGene00018911,Stress response,Stress response: GST,Stress response: GST,"F56A4.3 is an ortholog of human GSTP1 (glutathione S-transferase pi 1); microarray studies indicate that F56A4.3 is affected by Diallyl trisulfide, Tunicamycin, Progesterone, Cry5B, Ivermectin, Humic substances, Sirolimus, and Ag nanoparticles; RNA sequencing and microarray studies indicate that F56A4.3 is enriched in the intestine and in neurons."
